年月,品目,規格,地域,値,単位,状態,出典,注記
2026-03,型枠工,所定労働時間内8時間当たり,岩手県,36200,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,特殊作業員,所定労働時間内8時間当たり,宮城県,30300,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,普通作業員,所定労働時間内8時間当たり,宮城県,23600,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,鉄筋工,所定労働時間内8時間当たり,宮城県,39200,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,型枠工,所定労働時間内8時間当たり,宮城県,40900,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,特殊作業員,所定労働時間内8時間当たり,秋田県,28400,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,普通作業員,所定労働時間内8時間当たり,秋田県,22500,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,鉄筋工,所定労働時間内8時間当たり,秋田県,33600,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,型枠工,所定労働時間内8時間当たり,秋田県,32400,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,特殊作業員,所定労働時間内8時間当たり,山形県,28500,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,普通作業員,所定労働時間内8時間当たり,山形県,22500,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,鉄筋工,所定労働時間内8時間当たり,山形県,34100,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,型枠工,所定労働時間内8時間当たり,山形県,32900,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,特殊作業員,所定労働時間内8時間当たり,福島県,30600,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,普通作業員,所定労働時間内8時間当たり,福島県,23700,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,鉄筋工,所定労働時間内8時間当たり,福島県,34700,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,型枠工,所定労働時間内8時間当たり,福島県,30800,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,特殊作業員,所定労働時間内8時間当たり,茨城県,27200,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,普通作業員,所定労働時間内8時間当たり,茨城県,25400,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,鉄筋工,所定労働時間内8時間当たり,茨城県,30800,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,型枠工,所定労働時間内8時間当たり,茨城県,31500,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,特殊作業員,所定労働時間内8時間当たり,栃木県,27500,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,普通作業員,所定労働時間内8時間当たり,栃木県,24300,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,鉄筋工,所定労働時間内8時間当たり,栃木県,31400,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,型枠工,所定労働時間内8時間当たり,栃木県,31800,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,特殊作業員,所定労働時間内8時間当たり,群馬県,27100,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,普通作業員,所定労働時間内8時間当たり,群馬県,25300,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,鉄筋工,所定労働時間内8時間当たり,群馬県,30000,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,型枠工,所定労働時間内8時間当たり,群馬県,31200,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,特殊作業員,所定労働時間内8時間当たり,埼玉県,29000,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,普通作業員,所定労働時間内8時間当たり,埼玉県,25900,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,鉄筋工,所定労働時間内8時間当たり,埼玉県,33200,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,型枠工,所定労働時間内8時間当たり,埼玉県,32900,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,特殊作業員,所定労働時間内8時間当たり,千葉県,30000,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,普通作業員,所定労働時間内8時間当たり,千葉県,25500,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,鉄筋工,所定労働時間内8時間当たり,千葉県,34400,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,型枠工,所定労働時間内8時間当たり,千葉県,31800,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,特殊作業員,所定労働時間内8時間当たり,東京都,30700,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,普通作業員,所定労働時間内8時間当たり,東京都,27000,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,鉄筋工,所定労働時間内8時間当たり,東京都,33800,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,型枠工,所定労働時間内8時間当たり,東京都,33000,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,特殊作業員,所定労働時間内8時間当たり,神奈川県,30900,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,普通作業員,所定労働時間内8時間当たり,神奈川県,26800,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,鉄筋工,所定労働時間内8時間当たり,神奈川県,31600,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,型枠工,所定労働時間内8時間当たり,神奈川県,32700,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,特殊作業員,所定労働時間内8時間当たり,新潟県,28900,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,普通作業員,所定労働時間内8時間当たり,新潟県,24300,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,鉄筋工,所定労働時間内8時間当たり,新潟県,30900,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,型枠工,所定労働時間内8時間当たり,新潟県,28700,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,特殊作業員,所定労働時間内8時間当たり,富山県,32700,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,普通作業員,所定労働時間内8時間当たり,富山県,26100,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,鉄筋工,所定労働時間内8時間当たり,富山県,33700,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,型枠工,所定労働時間内8時間当たり,富山県,32300,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,特殊作業員,所定労働時間内8時間当たり,石川県,31600,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,普通作業員,所定労働時間内8時間当たり,石川県,27000,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,鉄筋工,所定労働時間内8時間当たり,石川県,33300,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,型枠工,所定労働時間内8時間当たり,石川県,31700,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,特殊作業員,所定労働時間内8時間当たり,福井県,26500,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,普通作業員,所定労働時間内8時間当たり,福井県,21900,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,鉄筋工,所定労働時間内8時間当たり,福井県,28100,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,型枠工,所定労働時間内8時間当たり,福井県,30200,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,特殊作業員,所定労働時間内8時間当たり,山梨県,29700,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,普通作業員,所定労働時間内8時間当たり,山梨県,26900,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,鉄筋工,所定労働時間内8時間当たり,山梨県,31300,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,型枠工,所定労働時間内8時間当たり,山梨県,33200,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,特殊作業員,所定労働時間内8時間当たり,長野県,28400,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,普通作業員,所定労働時間内8時間当たり,長野県,24600,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,鉄筋工,所定労働時間内8時間当たり,長野県,29100,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,型枠工,所定労働時間内8時間当たり,長野県,29000,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,特殊作業員,所定労働時間内8時間当たり,岐阜県,28800,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,普通作業員,所定労働時間内8時間当たり,岐阜県,25400,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,鉄筋工,所定労働時間内8時間当たり,岐阜県,31100,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,型枠工,所定労働時間内8時間当たり,岐阜県,34200,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,特殊作業員,所定労働時間内8時間当たり,静岡県,28400,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,普通作業員,所定労働時間内8時間当たり,静岡県,26600,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,鉄筋工,所定労働時間内8時間当たり,静岡県,31800,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,型枠工,所定労働時間内8時間当たり,静岡県,32100,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,特殊作業員,所定労働時間内8時間当たり,愛知県,29800,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,普通作業員,所定労働時間内8時間当たり,愛知県,25200,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,鉄筋工,所定労働時間内8時間当たり,愛知県,31000,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,型枠工,所定労働時間内8時間当たり,愛知県,34400,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,特殊作業員,所定労働時間内8時間当たり,三重県,28700,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,普通作業員,所定労働時間内8時間当たり,三重県,24500,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,鉄筋工,所定労働時間内8時間当たり,三重県,31600,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,型枠工,所定労働時間内8時間当たり,三重県,32300,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,特殊作業員,所定労働時間内8時間当たり,滋賀県,26700,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,普通作業員,所定労働時間内8時間当たり,滋賀県,23300,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,鉄筋工,所定労働時間内8時間当たり,滋賀県,29500,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,型枠工,所定労働時間内8時間当たり,滋賀県,30700,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,特殊作業員,所定労働時間内8時間当たり,京都府,26100,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,普通作業員,所定労働時間内8時間当たり,京都府,24400,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,鉄筋工,所定労働時間内8時間当たり,京都府,28500,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,型枠工,所定労働時間内8時間当たり,京都府,31700,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,特殊作業員,所定労働時間内8時間当たり,大阪府,27800,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,普通作業員,所定労働時間内8時間当たり,大阪府,23800,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,鉄筋工,所定労働時間内8時間当たり,大阪府,29000,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,型枠工,所定労働時間内8時間当たり,大阪府,33400,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,特殊作業員,所定労働時間内8時間当たり,兵庫県,25100,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,普通作業員,所定労働時間内8時間当たり,兵庫県,24100,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,鉄筋工,所定労働時間内8時間当たり,兵庫県,27200,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,型枠工,所定労働時間内8時間当たり,兵庫県,31400,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,特殊作業員,所定労働時間内8時間当たり,奈良県,28100,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,普通作業員,所定労働時間内8時間当たり,奈良県,24000,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,鉄筋工,所定労働時間内8時間当たり,奈良県,29100,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,型枠工,所定労働時間内8時間当たり,奈良県,32900,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,特殊作業員,所定労働時間内8時間当たり,和歌山県,27100,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,普通作業員,所定労働時間内8時間当たり,和歌山県,24200,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,鉄筋工,所定労働時間内8時間当たり,和歌山県,27900,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
2026-03,型枠工,所定労働時間内8時間当たり,和歌山県,33400,円/日,confirmed,国土交通省 令和8年3月適用 公共工事設計労務単価,現場管理費・一般管理費等の諸経費、時間外・休日・深夜割増賃金を含まない。公式PDFを加工。
